ID,Question,Option1,Option2,Option3,Option4,Answer,Explanation
110,"化学反応式の係数の比は、反応物が「気体」どうしの場合、何の比とも等しくなるか。（同温・同圧の場合）",質量の比,"体積[L]の比",密度の比,モル質量の比,2,"アボガドロの法則により、気体反応では、係数の比は「物質量[mol]」の比だけでなく、「体積」の比とも等しくなります。（標準状態の場合）"
111,"CH₄ + 2O₂ → CO₂ + 2H₂O の反応で、メタン(CH₄) 1 [mol] が完全に燃焼したとき、生成する二酸化炭素(CO₂)は何 [mol] か。","0.5 [mol]","1 [mol]","2 [mol]","4 [mol]",1,"化学反応式の係数より、CH₄ と CO₂ は 1 : 1 の物質量で反応・生成します。よって CH₄ 1 [mol] から CO₂ 1 [mol] が生成します。"
112,"CH₄ + 2O₂ → CO₂ + 2H₂O の反応で、メタン(CH₄) 1 [mol] が完全に燃焼したとき、必要な酸素(O₂)は何 [mol] か。","0.5 [mol]","1 [mol]","2 [mol]","4 [mol]",3,"化学反応式の係数より、CH₄ と O₂ は 1 : 2 の物質量で反応します。よって CH₄ 1 [mol] には O₂ 2 [mol] が必要です。"
113,"メタン(CH₄)の燃焼反応 (CH₄ + 2O₂ → CO₂ + 2H₂O) において、反応物の質量の総和と生成物の質量の総和の関係はどうなるか。",反応物の方が重い,生成物の方が重い,等しくなる,反応によって異なる,3,"化学反応の前後で物質の総質量は変わらない（質量保存の法則）。図の例では 16 [g] + 64 [g] = 80 [g] で、生成物も 44 [g] + 36 [g] = 80 [g] で等しくなります。"
114,"【アレニウスの定義】水に溶けて水素イオン H⁺ を生じる物質を何というか。",酸,塩基,2,1,"アレニウスの定義では、酸は H⁺ を生じる物質（例: HCl）、塩基は OH⁻ を生じる物質（例: NaOH）です。"
115,"【アレニウスの定義】水に溶けて水酸化物イオン OH⁻ を生じる物質を何というか。",酸,塩基,2,2,"アレニウスの定義では、塩基は水に溶けて水酸化物イオン OH⁻ を生じる物質です（例: NaOH）。"
116,"【ブレンステッド・ローリーの定義】相手に H⁺ を与える分子やイオンを何というか。",酸,塩基,2,1,"ブレンステッド・ローリーの定義では、酸は H⁺ を与える物質、塩基は H⁺ を受け取る物質です。"
117,"【ブレンステッド・ローリーの定義】相手から H⁺ を受け取る分子やイオンを何というか。",酸,塩基,2,2,"ブレンステッド・ローリーの定義では、塩基は H⁺ を受け取る物質です（例: NH₃）。"
118,"次の(A)と(B)の酸・塩基の定義の組合せとして正しいものはどれか。(A) 水に溶けて H⁺ を生じるものを酸、OH⁻ を生じるものを塩基と定義する。(B) 相手に H⁺ を与えるものを酸、相手から H⁺ を受け取るものを塩基と定義する。","(A) アレニウスの定義, (B) ブレンステッド・ローリーの定義","(A) ブレンステッド・ローリーの定義, (B) アレニウスの定義","(A) アレニウスの定義, (B) アレニウスの定義","(A) ブレンステッド・ローリーの定義, (B) ブレンステッド・ローリーの定義",1,"水溶液中での振る舞いを基準にしたのが、より古い定義（アレニウス）です。"
119,"アンモニア(NH₃)は、アレニウスの定義では塩基と分類されにくいが、ブレンステッド・ローリーの定義では塩基である。これはなぜか。",水から H⁺ を受け取るから,水に OH⁻ を与えるから,水に H⁺ を与えるから,水から OH⁻ を受け取るから,1,"アンモニア(NH₃)は、水(H₂O)との反応で、水から H⁺ を受け取って NH₄⁺ となるため、ブレンステッド・ローリーの塩基に分類されます。"
120,"反応 HCl + H₂O → Cl⁻ + H₃O⁺ において、ブレンステッド・ローリーの酸としてはたらいている物質はどれか。",HCl,H₂O,Cl⁻,H₃O⁺,1,"HCl (塩酸) が H₂O (水) に H⁺ を与えて、自身は Cl⁻ になっているため、HCl が酸としてはたらいています。"
121,"1分子（1化学式あたり）から生じうる H⁺ または OH⁻ の数を何というか。",価数,電離度,強酸,弱酸,1,"価数は、酸が出す H⁺ の数、または塩基が出す OH⁻ の数を表します。例えば H₂SO₄（硫酸）は2価の酸、NaOH（水酸化ナトリウム）は1価の塩基です。"
122,"次の酸のうち、「2価の酸」に分類されるものはどれか。",HCl (塩酸),CH₃COOH (酢酸),H₂SO₄ (硫酸),HNO₃ (硝酸),3,"硫酸(H₂SO₄)は H⁺ を2個出すことができる2価の酸です。HCl, HNO₃, CH₃COOH は1価の酸です。"
123,"次の塩基のうち、「1価の塩基」に分類されるものはどれか。",Ca(OH)₂ (水酸化カルシウム),Ba(OH)₂ (水酸化バリウム),NH₃ (アンモニア),Cu(OH)₂ (水酸化銅(II)),3,"アンモニア(NH₃)は水と反応して OH⁻ を1個生じる（または H⁺ を1個受け取る）ため、1価の塩基です。Ca(OH)₂, Ba(OH)₂, Cu(OH)₂ は2価の塩基です。"
124,"水溶液中でほぼ完全に電離している（電離度αがほぼ1）酸や塩基を何というか。",強酸・強塩基,弱酸・弱塩基,価数,電離度,1,"強酸（例: HCl, H₂SO₄, HNO₃）や強塩基（例: NaOH, KOH, Ba(OH)₂）は、水中でほぼ100%電離します。"
125,"水溶液中で一部だけが電離し、大部分は分子のまま溶けている（電離度αが1に比べてかなり小さい）酸や塩基を何というか。",強酸・強塩基,弱酸・弱塩基,価数,電離度,2,"弱酸（例: CH₃COOH, H₂CO₃）や弱塩基（例: NH₃）は、水中で一部しか電離しません。"
126,"溶解した酸や塩基の物質量[mol]のうち、電離している物質量[mol]の割合を示す値を何というか。",価数,電離度 (α),モル濃度,質量パーセント濃度,2,"電離度(α)は、酸や塩基がどれだけ電離しているかを示す割合で、0 < α ≦ 1 の値を持ちます。"
127,"次のうち、「弱酸」に分類されるものはどれか。",HCl (塩酸),HNO₃ (硝酸),H₂SO₄ (硫酸),CH₃COOH (酢酸),4,"酢酸(CH₃COOH)は代表的な弱酸です。塩酸(HCl)、硝酸(HNO₃)、硫酸(H₂SO₄)は代表的な強酸です。"
128,"水溶液の酸性や塩基性の強弱を表す数値（通常0～14）を何というか。",pH,電離度,価数,中性,1,"pHは、水溶液中の H⁺ 濃度（水素イオン濃度）に基づいて、酸性・塩基性の度合いを示す数値です。"
129,"純水（25℃）は中性である。このときの水素イオン濃度 [H⁺] と水酸化物イオン濃度 [OH⁻] の関係として正しいものはどれか。",[H⁺] > [OH⁻],[H⁺] < [OH⁻],"[H⁺] = [OH⁻] = 1.0 × 10⁻⁷ [mol/L]","[H⁺] = [OH⁻] = 0 [mol/L]",3,"中性の水（25℃）では、ごくわずかな水分子が電離し、[H⁺] と [OH⁻] が等しく、どちらも 1.0 × 10⁻⁷ [mol/L] になります。"
130,"水溶液が「酸性」であるとき、[H⁺] と [OH⁻] の関係として正しいものはどれか。",[H⁺] > [OH⁻],[H⁺] < [OH⁻],[H⁺] = [OH⁻],どちらも存在しない,1,"酸性の水溶液では、H⁺ が OH⁻ よりも多く存在します。（[H⁺] > 1.0 × 10⁻⁷ [mol/L] > [OH⁻]）"
131,"水溶液が「塩基性」であるとき、[H⁺] と [OH⁻] の関係として正しいものはどれか。",[H⁺] > [OH⁻],[H⁺] < [OH⁻],[H⁺] = [OH⁻],どちらも存在しない,2,"塩基性の水溶液では、OH⁻ が H⁺ よりも多く存在します。（[H⁺] < 1.0 × 10⁻⁷ [mol/L] < [OH⁻]）"
132,"ある水溶液の水素イオン濃度 [H⁺] が 1.0 × 10⁻³ [mol/L] であった。この水溶液の pH はいくつか。",1,3,7,11,2,"[H⁺] = 1.0 × 10⁻ⁿ [mol/L] のとき、pH = n となります。この場合 n=3 なので pH=3 です。"
133,"0.1 [mol/L] の塩酸 (HCl) がある。塩酸は電離度 α=1 の強酸とするとき、この水溶液の [H⁺] はいくつか。","0.1 [mol/L]","0.01 [mol/L]","1 [mol/L]","1.0 × 10⁻⁷ [mol/L]",1,"[H⁺] = 酸のモル濃度 × 電離度α です。HClは1価の強酸（α=1）なので、[H⁺] = 0.1 [mol/L] × 1 = 0.1 [mol/L] となります。"
134,"水溶液の pH に応じて特有の色を示すことで、pH を知るために使われる物質を何というか。",pH試験紙,pH指示薬,緩衝液,沸騰石,2,"pH指示薬は、pHによって色が変わる物質で、pHの測定や中和滴定の終点の確認などに使われます。"
135,"酸の H⁺ と塩基の OH⁻ が反応して互いの性質を打ち消し合い、水と「塩」ができる反応を何というか。",中和反応,酸化還元反応,弱酸の遊離,電離,1,"中和反応は、酸と塩基が反応して水と塩を生じる反応です。例: HCl + NaOH → H₂O + NaCl"
136,"NaCl や NH₄Cl のように、酸のHも塩基のOHも残っていない塩を何というか。",正塩,酸性塩,塩基性塩,中性塩,1,"正塩は、中和反応によってHもOHも残らない形になった塩です。水溶液の性質が中性とは限りません（例: NH₄Clは酸性）。"
137,"NaHCO₃ (炭酸水素ナトリウム) のように、酸（この場合は炭酸 H₂CO₃）に由来するH原子が残っている塩を何というか。",正塩,酸性塩,塩基性塩,中性塩,2,"酸性塩は、多価の酸が中和される途中で、まだ電離できるHが残っている塩です。"
138,"pH指示薬の一つである「BTB溶液」が、酸性（pH < 6.0）で黄色、塩基性（pH > 7.6）で青色を示すのに対し、中性付近では何色を示すか。",赤色,緑色,無色,黄色,2,"BTB溶液は、酸性（黄）→ 中性（緑）→ 塩基性（青）と色が変化します。変色域は pH 6.0～7.6 です。"
139,"NaCl (塩化ナトリウム) の水溶液は中性を示す。これは、NaClがどのような酸と塩基からできた塩であるためか。",強酸と強塩基,強酸と弱塩基,弱酸と強塩基,弱酸と弱塩基,1,"NaClは、強酸(HCl)と強塩基(NaOH)からできた正塩です。強酸と強塩基からなる塩の水溶液は中性を示します。"
140,"NH₄Cl (塩化アンモニウム) の水溶液が「酸性」を示すのは、NH₄Clがどのような酸と塩基からできた塩であるためか。",強酸と強塩基,強酸と弱塩基,弱酸と強塩基,弱酸と弱塩基,2,"NH₄Clは、強酸(HCl)と弱塩基(NH₃)からできた正塩です。水溶液は弱塩基に由来するイオンの影響で酸性を示します。"
141,"CH₃COONa (酢酸ナトリウム) の水溶液が「塩基性」を示すのは、CH₃COONaがどのような酸と塩基からできた塩であるためか。",強酸と強塩基,強酸と弱塩基,弱酸と強塩基,弱酸と弱塩基,3,"CH₃COONaは、弱酸(CH₃COOH)と強塩基(NaOH)からできた正塩です。水溶液は弱酸に由来するイオンの影響で塩基性を示します。"
142,"酢酸ナトリウム(CH₃COONa)の水溶液に塩酸(HCl)を加えると、酢酸(CH₃COOH)が生成する。このような反応を何というか。",中和,弱酸の遊離,弱塩基の遊離,沈殿,2,"弱酸の塩（例: CH₃COONa）に強酸（例: HCl）を加えると、弱酸（例: CH₃COOH）が追い出される（遊離する）反応が起こります。"
143,"濃度がわかっている水溶液（標準溶液）を用いて、濃度がわからない酸または塩基の水溶液の濃度を求める操作を何というか。",中和滴定,ろ過,蒸留,電離,1,"中和滴定は、既知の濃度の溶液（標準溶液）を使い、中和反応の量的関係から未知の濃度の溶液を決定する操作です。"
144,"中和反応がちょうど完了する点において、「酸から生じる H⁺ の物質量」と「塩基から生じる OH⁻ の物質量」の関係はどうなっているか。",H⁺ が OH⁻ より多い,H⁺ が OH⁻ より少ない,H⁺ と OH⁻ が等しい,反応によって異なる,3,"中和点では、酸が出した H⁺ の総物質量と、塩基が出した OH⁻ の総物質量がちょうど等しくなります。"
145,"a価の酸の水溶液(濃度 c [mol/L], 体積 V [L])が、b価の塩基の水溶液(濃度 c' [mol/L], 体積 V' [L])とちょうど中和したとき、成り立つ関係式として正しいものはどれか。","acV = bc'V'","ac/V = bc'/V'","aV/c = bV'/c'","cV/a = c'V'/b",1,"中和の量的関係は (酸の価数 × モル濃度[mol/L] × 体積[L]) = (塩基の価数 × モル濃度[mol/L] × 体積[L]) 、すなわち acV = bc'V' で表されます。"
146,"中和滴定で、一定体積の液体を正確に量り取るために用いる器具はどれか。",ビュレット,ホールピペット,コニカルビーカー,メスフラスコ,2,"ホールピペットは、決まった体積（例: 10[mL]）を正確に量り取るために使用されます。"
147,"滴下した液体の体積を正確に量るために用いられ、目盛りの最小単位は通常 0.01[mL] である器具はどれか。",ビュレット,ホールピペット,コニカルビーカー,メスフラスコ,1,"ビュレットは、標準溶液を滴下し、その体積を正確に読み取るために使用されます。"
148,"中和滴定で使用する器具のうち、使用前に「共洗い」しなければならない器具の正しい組合せはどれか。",ホールピペット と ビュレット,メスフラスコ と コニカルビーカー,ホールピペット と コニカルビーカー,ビュレット と メスフラスコ,1,"ホールピペットとビュレットは、測り取る溶液や標準溶液の濃度が変わらないように、使用する溶液で共洗いします。コニカルビーカーやメスフラスコは純水でぬれていて構いません。"
149,"中和滴定を行う際に、滴下量に伴う水溶液の pH の変化をグラフに表したものを何というか。",電離曲線,滴定曲線,溶解度曲線,蒸気圧曲線,2,"滴定曲線は、中和滴定におけるpHの変化を示したグラフです。"
150,"「強酸」を「強塩基」で滴定した場合（図①）、中和点の pH はどのようになるか。",7 より小さい,ちょうど 7,7 より大きい,3,2,"強酸と強塩基の中和では、中和点は pH=7（中性）となります。"
151,"「弱酸」を「強塩基」で滴定した場合（図②）、中和点の pH はどのようになるか。",7 より小さい,ちょうど 7,7 より大きい,3,3,"弱酸と強塩基の中和では、生じた塩（弱酸と強塩基の塩）の影響で、中和点は pH > 7（塩基性側）となります。"
152,"「強酸」を「弱塩基」で滴定した場合（図③）、中和点の pH はどのようになるか。",7 より小さい,ちょうど 7,7 より大きい,3,1,"強酸と弱塩基の中和では、生じた塩（強酸と弱塩基の塩）の影響で、中和点は pH < 7（酸性側）となります。"
153,"中和滴定で用いる指示薬は、何を基準に選ぶのが最も適切か。",色が美しいもの,中和点の範囲内に変色域をもつもの,中性で色が変化するもの,安価なもの,2,"指示薬は、中和点の前後で起こる急激なpHの変化（pHジャンプ）の範囲内に、変色域が含まれるものを選びます。"
154,"図②（弱酸＋強塩基）の滴定で用いる指示薬として、フェノールフタレイン(PP, 変色域 pH 8.0-9.8)とメチルオレンジ(MO, 変色域 pH 3.1-4.4)のどちらが適切か。",フェノールフタレイン (PP),メチルオレンジ (MO),どちらでもよい,どちらも不適切,1,"図②の中和点は塩基性側にあるため、変色域が塩基性側にあるフェノールフタレイン(PP)が適切です。"
155,"図③（強酸＋弱塩基）の滴定で用いる指示薬として、フェノールフタレイン(PP, 変色域 pH 8.0-9.8)とメチルオレンジ(MO, 変色域 pH 3.1-4.4)のどちらが適切か。",フェノールフタレイン (PP),メチルオレンジ (MO),どちらでもよい,どちらも不適切,2,"図③の中和点は酸性側にあるため、変色域が酸性側にあるメチルオレンジ(MO)が適切です。"
156,"物質中の原子やイオンの酸化の程度を表す数値を何というか。",酸化数,還元数,価数,電荷,1,"酸化数は、原子の酸化の度合いを数値で表したものです。"
157,"単体（例: H₂, Cu）の原子の酸化数として、正しいものはいくつか。",+1,-1,0,その原子の価数,3,"単体を構成する原子の酸化数は 0 と決められています。"
158,"単原子イオン（例: Cu²⁺, Cl⁻）の酸化数は、何と等しくなるか。",0,そのイオンの電荷,単体の酸化数,原子番号,2,"単原子イオンの酸化数は、そのイオンの電荷（価数）と等しくなります。例: Cu²⁺ は +2、Cl⁻ は -1"
159,"化合物中の原子の酸化数に関するルールとして、原則的に正しい組合せはどれか。",H原子は-1, O原子は+2,"H原子は+1, O原子は-2",H原子は0, O原子は0,H原子は+1, O原子は+2,2,"化合物中では、原則として H (水素) は +1、O (酸素) は -2 となります。（例外もあります）"
160,"化合物（例: NH₃）を構成する原子の、酸化数の総和はいくつか。",0,+1,-1,その化合物のモル質量,1,"化合物は全体として電荷が中性なので、構成原子の酸化数の総和は 0 になります。"
161,"多原子イオン（例: SO₄²⁻）を構成する原子の、酸化数の総和はいくつか。",0,そのイオンの電荷,構成元素の数,常に-2,2,"多原子イオンでは、構成原子の酸化数の総和は、そのイオン全体の電荷と等しくなります。SO₄²⁻ の場合は -2 です。"
162,"アンモニア (NH₃) に含まれる窒素 (N) 原子の酸化数はいくつか。（Hの酸化数は+1とする）",0,+1,+3,-3,4,"Nの酸化数を x とすると、化合物中の酸化数の総和は0なので、x + (+1)×3 = 0 となります。これを解くと x = -3 です。"
163,"「酸化される」とは、電子(e⁻)をどうすることか。",受け取る,失う,2,2,"酸化されるとは、電子(e⁻)を失うことです。"
164,"「還元される」とは、電子(e⁻)をどうすることか。",受け取る,失う,2,1,"還元されるとは、電子(e⁻)を受け取ることです。"
165,"原子の酸化数が「増加する」変化は、酸化と還元のどちらか。",酸化,還元,2,1,"酸化数が「増加する」変化が酸化です。例: Cu (0) → Cu²⁺ (+2)"
166,"原子の酸化数が「減少する」変化は、酸化と還元のどちらか。",酸化,還元,2,2,"酸化数が「減少する」変化が還元です。例: Cl₂ (0) → 2Cl⁻ (-1)"
167,"水素(H)原子のやり取りで「還元される」とは、水素をどうすることか。",受け取る,失う,2,1,"還元されるとは、水素(H)を受け取ることです（例: 有機化学）。逆に酸化されるとは、水素(H)を失うことです。"
168,"酸素(O)原子のやり取りで「酸化される」とは、酸素をどうすることか。",受け取る,失う,2,1,"酸化されるとは、酸素(O)を受け取ること（結合すること）です。逆に還元されるとは、酸素(O)を失うことです。"
169,"相手の物質を「酸化」するはたらきをもつ物質はどちらか。",酸化剤,還元剤,2,1,"酸化剤は、相手を酸化し、自身（酸化剤）は電子を受け取って還元されます。"
170,"相手の物質を「還元」するはたらきをもつ物質はどちらか。",酸化剤,還元剤,2,2,"還元剤は、相手を還元し、自身（還元剤）は電子を失って酸化されます。"
171,"酸化還元反応において、酸化剤と還元剤の間で、何の粒子が移動するか。",水素イオン (H⁺),水酸化物イオン (OH⁻),電子 (e⁻),中性子,3,"酸化還元反応は、電子 (e⁻) の授受によって起こります。還元剤が放出した電子を、酸化剤が受け取ります。"
172,"過マンガン酸カリウム(KMnO₄)や塩素(Cl₂)は、酸化剤と還元剤のどちらに分類されるか。",酸化剤,還元剤,どちらでもある,どちらでもない,1,"KMnO₄やCl₂は、相手から電子を奪う力が強く、代表的な酸化剤として働きます。"
173,"過酸化水素(H₂O₂)は、相手が強い酸化剤(KMnO₄など)のときは還元剤として働く。では、相手が還元剤(KIなど)のときは、H₂O₂は何として働くか。",酸化剤,還元剤,酸,塩基,1,"H₂O₂は、相手によって酸化剤にも還元剤にもなります。相手が還元剤の場合は、H₂O₂は酸化剤として働きます。"
174,"酸化剤・還元剤のイオン反応式（半反応式）をつくる際、両辺の「O (酸素) 原子」の数は、何を加えて合わせるか。",H⁺ (水素イオン),e⁻ (電子),H₂O (水),O₂ (酸素),3,"O原子の数は、H₂O (水) を加えて合わせます。"
175,"酸化剤・還元剤のイオン反応式（半反応式）をつくる際、O原子をH₂Oで合わせた後、両辺の「H (水素) 原子」の数は、何を加えて合わせるか。",H⁺ (水素イオン),e⁻ (電子),H₂O (水),OH⁻ (水酸化物イオン),1,"H原子の数は、H⁺ (水素イオン) を加えて合わせます。（※塩基性水溶液の場合は、最後に両辺にOH⁻を加えてH⁺を消去します）"
176,"酸化剤・還元剤のイオン反応式（半反応式）をつくる際、O原子とH原子を合わせた後、両辺の「電荷のつり合い」は、何を加えて合わせるか。",H⁺ (水素イオン),e⁻ (電子),H₂O (水),OH⁻ (水酸化物イオン),2,"電荷の総和は、e⁻ (電子) を加えて両辺で等しくなるように合わせます。"
177,"酸化剤と還元剤の2つのイオン反応式を組み合わせて「酸化還元反応式」をつくる際、まず何を消去するように2つの式を足し合わせるか。",H⁺ (水素イオン),e⁻ (電子),H₂O (水),O₂ (酸素),2,"2つの式でやり取りする e⁻ (電子) の数が等しくなるように、式全体を整数倍してから足し合わせ、e⁻ を消去します。"
178,"反応式 2KMnO₄ + 5H₂O₂ + 3H₂SO₄ → 2MnSO₄ + 5O₂ + 8H₂O + K₂SO₄ において、反応に関係しなかったイオンはどれか。",Mn²⁺ と O₂,"K⁺ と SO₄²⁻",H⁺ と H₂O₂,"K⁺ と MnO₄⁻",2,"反応の前後で変化していない K⁺ (カリウムイオン) と SO₄²⁻ (硫酸イオン) は、反応に関係しなかったイオンです。"
179,"過マンガン酸イオン (MnO₄⁻) が Mn²⁺ になる半反応式 MnO₄⁻ + 8H⁺ + 5e⁻ → Mn²⁺ + 4H₂O において、MnO₄⁻ は酸化されたか、還元されたか。",酸化された,還元された,2,2,"MnO₄⁻ (Mnの酸化数+7) が 5e⁻ (電子) を受け取って Mn²⁺ (酸化数+2) になっているので、還元されています。"
180,"酸化還元反応を利用して、濃度がわかっている標準溶液を用い、濃度がわからない溶液の濃度を求める操作を何というか。",酸化還元滴定,中和滴定,ろ過,蒸留,1,"酸化還元滴定は、酸化還元反応の量的関係を利用して、溶液の濃度を決定する操作です。"
181,"酸化還元滴定の終点において、「酸化剤が受け取る電子 e⁻ の物質量」と「還元剤が放出する電子 e⁻ の物質量」の関係はどうなっているか。",酸化剤側が多い,還元剤側が多い,等しい,反応によって異なる,3,"酸化還元反応が完了する点では、酸化剤が受け取った e⁻ の総物質量と、還元剤が放出した e⁻ の総物質量がちょうど等しくなります。"
182,"過マンガン酸カリウム(KMnO₄)を用いた酸化還元滴定では、KMnO₄自身の色の変化（赤紫色→無色）で終点を知ることができる。このときの指示薬の役割をするイオンはどれか。",K⁺,MnO₄⁻,Mn²⁺,SO₄²⁻,2,"過マンガン酸イオン(MnO₄⁻)は赤紫色ですが、還元されて Mn²⁺ になると無色（淡桃色）になります。この色の変化を利用するため、指示薬は不要です。"
183,"ヨウ素(I₂)とヨウ化物イオン(I⁻)を用いた滴定では、何を指示薬として利用することが多いか。I₂ が存在すると青紫色を示す。",BTB溶液,フェノールフタレイン,メチルオレンジ,デンプン水溶液,4,"ヨウ素(I₂)は、デンプンと反応して青紫色（ヨウ素デンプン反応）を示すため、ヨウ素滴定ではデンプン水溶液が指示薬として用いられます。"
184,"金属の単体が水溶液中で陽イオンになろうとする性質を何というか。",イオン化傾向,電気陰性度,酸化数,還元性,1,"イオン化傾向は、金属原子が電子を失って陽イオンになろうとする（酸化されようとする）性質の強さです。"
185,"代表的な金属をイオン化傾向の大きいものから順に並べたものを何というか。",周期表,イオン化列,電子配置,同素体,2,"イオン化列は、金属をイオン化傾向の大きさの順に並べたものです。（例: K > Ca > Mg > Al > Zn > Fe > ... > Cu > Ag > Pt > Au）"
186,"イオン化傾向が「大きい」金属ほど、どのような性質を持つか。",酸化されやすい（陽イオンになりやすい）,還元されやすい（陽イオンになりにくい）,酸化されにくい（陽イオンになりにくい）,還元されやすい（陰イオンになりやすい）,1,"イオン化傾向が大きいほど、電子を失いやすく、酸化されやすい（陽イオンになりやすい）ことを意味します。"
187,"次の金属のうち、イオン化傾向が最も「小さい」ものはどれか。",Na (ナトリウム),Zn (亜鉛),Cu (銅),Al (アルミニウム),3,"銅(Cu)は、イオン化列で水素(H₂)よりも右側にあり、イオン化傾向が比較的小さい金属です。Na, Al, Zn は水素より大きいです。"
188,"イオン化傾向が水素(H₂)より大きい金属（例: Zn, Fe）を塩酸や希硫酸などの酸の水溶液に入れると、何が発生するか。",酸素 (O₂),水素 (H₂),塩素 (Cl₂),何も反応しない,2,"イオン化傾向が水素より大きい金属は、酸の H⁺ と反応して電子を与え、自身は陽イオンとして溶け、H⁺ は電子を受け取って H₂ (水素) が発生します。"
189,"イオン化傾向が非常に大きいカリウム(K)やナトリウム(Na)を、水（常温）に入れたときの反応として正しいものはどれか。",反応しない,高温の水蒸気と反応する,熱水と反応する,常温の水と反応して水素を発生する,4,"KやNaはイオン化傾向が非常に大きいため、常温の水とも激しく反応し、水素(H₂)を発生して水酸化物になります。"
190,"金属の化合物から、金属の単体を取り出す操作を何というか。",製錬,電解精錬,溶融塩電解,イオン化,1,"製錬は、金属の酸化物などの化合物から、酸素などを取り除いて（還元して）、金属の単体を得る操作です。"
191,"鉄の製錬（Fe₂O₃ + 3CO → 2Fe + 3CO₂）において、鉄鉱石(Fe₂O₃)を還元するために用いられる物質は何か。",CO (一酸化炭素),O₂ (酸素),CO₂ (二酸化炭素),H₂ (水素),1,"高炉内では、コークスが燃焼してできた一酸化炭素(CO)が、鉄鉱石(Fe₂O₃)を還元して鉄(Fe)を取り出します。"
192,"粗銅から、純度の高い純銅を得るために行われる精製操作を何というか。",製錬,電解精錬,溶融塩電解,イオン化列,2,"電解精錬は、電気分解を利用して金属の純度を高める操作です。粗銅を陽極、純銅を陰極にして行います。"
193,"アルミニウムの製造において、原料となる鉱石から取り出される、酸化アルミニウムの主成分は何か。",鉄鉱石,ボーキサイト,氷晶石,アルミナ (酸化アルミニウム),4,"ボーキサイトから不純物を取り除いて得られる、純粋な酸化アルミニウム (Al₂O₃) をアルミナと呼びます。"
194,"アルミニウムの製造では、アルミナを氷晶石(Na₃AlF₆)とともに高温で融かし、炭素電極で電気分解する。この方法を何というか。",電解精錬,溶融塩電解,接触法,製錬,2,"アルミニウムはイオン化傾向が大きいため、水溶液の電気分解では得られません。そのため、高温で融かして行う溶融塩電解で製造されます。"
